DataYear,CircuitCook88,Indic_Number,Indic_Desc,Caseloads
2012,10,30,Felony Probation Caseloads,1701
2012,10,31,Misdemeanor Probation Caseloads,491
2012,10,32,DUI Probation Caseloads,118
2012,11,30,Felony Probation Caseloads,1557
2012,11,31,Misdemeanor Probation Caseloads,388
2012,11,32,DUI Probation Caseloads,187
2012,12,30,Felony Probation Caseloads,1641
2012,12,31,Misdemeanor Probation Caseloads,169
2012,12,32,DUI Probation Caseloads,225
2012,13,30,Felony Probation Caseloads,810
2012,13,31,Misdemeanor Probation Caseloads,137
2012,13,32,DUI Probation Caseloads,23
2012,14,30,Felony Probation Caseloads,1418
2012,14,31,Misdemeanor Probation Caseloads,505
2012,14,32,DUI Probation Caseloads,1702
2012,15,30,Felony Probation Caseloads,805
2012,15,31,Misdemeanor Probation Caseloads,367
2012,15,32,DUI Probation Caseloads,148
2012,16,30,Felony Probation Caseloads,1875
2012,16,31,Misdemeanor Probation Caseloads,445
2012,16,32,DUI Probation Caseloads,212
2012,17,30,Felony Probation Caseloads,2551
2012,17,31,Misdemeanor Probation Caseloads,819
2012,17,32,DUI Probation Caseloads,1216
2012,18,30,Felony Probation Caseloads,1830
2012,18,31,Misdemeanor Probation Caseloads,1019
2012,18,32,DUI Probation Caseloads,443
2012,19,30,Felony Probation Caseloads,1814
2012,19,31,Misdemeanor Probation Caseloads,958
2012,19,32,DUI Probation Caseloads,541
2012,20,30,Felony Probation Caseloads,1823
2012,20,31,Misdemeanor Probation Caseloads,152
2012,20,32,DUI Probation Caseloads,33
2012,21,30,Felony Probation Caseloads,693
2012,21,31,Misdemeanor Probation Caseloads,208
2012,21,32,DUI Probation Caseloads,13
2012,22,30,Felony Probation Caseloads,619
2012,22,31,Misdemeanor Probation Caseloads,168
2012,22,32,DUI Probation Caseloads,40
2012,23,30,Felony Probation Caseloads,595
2012,23,31,Misdemeanor Probation Caseloads,372
2012,23,32,DUI Probation Caseloads,18
2012,88,30,Felony Probation Caseloads,17752
2012,88,31,Misdemeanor Probation Caseloads,6539
2012,88,32,DUI Probation Caseloads,5111
2013,1,30,Felony Probation Caseloads,1370
2013,1,31,Misdemeanor Probation Caseloads,803
2013,1,32,DUI Probation Caseloads,594
2013,2,30,Felony Probation Caseloads,1271
2013,2,31,Misdemeanor Probation Caseloads,572
2013,2,32,DUI Probation Caseloads,139
2013,3,30,Felony Probation Caseloads,1407
2013,3,31,Misdemeanor Probation Caseloads,182
2013,3,32,DUI Probation Caseloads,304
2013,4,30,Felony Probation Caseloads,1437
2013,4,31,Misdemeanor Probation Caseloads,1202
2013,4,32,DUI Probation Caseloads,928
2013,5,30,Felony Probation Caseloads,1138
2013,5,31,Misdemeanor Probation Caseloads,369
2013,5,32,DUI Probation Caseloads,128
2013,6,30,Felony Probation Caseloads,2471
2013,6,31,Misdemeanor Probation Caseloads,876
2013,6,32,DUI Probation Caseloads,385
2013,7,30,Felony Probation Caseloads,1234
2013,7,31,Misdemeanor Probation Caseloads,648
2013,7,32,DUI Probation Caseloads,276
2013,8,30,Felony Probation Caseloads,900
2013,8,31,Misdemeanor Probation Caseloads,343
2013,8,32,DUI Probation Caseloads,361
2013,9,30,Felony Probation Caseloads,556
2013,9,31,Misdemeanor Probation Caseloads,142
2013,9,32,DUI Probation Caseloads,40
2013,10,30,Felony Probation Caseloads,1533
2013,10,31,Misdemeanor Probation Caseloads,494
2013,10,32,DUI Probation Caseloads,97
2013,11,30,Felony Probation Caseloads,1694
2013,11,31,Misdemeanor Probation Caseloads,405
2013,11,32,DUI Probation Caseloads,208
2013,12,30,Felony Probation Caseloads,1638
